"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"mmu04140","Autophagy - animal",157,-0.447918537719321,-2.2614671044766,1e-10,3.49e-08,2.4e-08,3853,"tags=51%, list=23%, signal=40%","67605/26417/19349/26419/12015/74244/100502841/22320/23797/228361/170749/237782/17532/68728/15251/19052/245670/51897/108079/56480/66795/11652/13033/68118/56486/74781/17274/71648/11793/67474/29869/71732/78610/235040/228545/217695/74769/242557/22034/218035/225326/12421/26420/100504663/93739/75669/19338/105787/16784/66840/13039/17966/66615/69635/18747/18749/26413/13030/18708/18607/245860/20130/54636/12176/12633/72145/66734/18412/218460/74302/22241/19211/18761/97998/329015/57436/269338/16001/67443/384783"
"mmu00140","Steroid hormone biosynthesis",66,0.628671602863823,2.28343565328052,1.94735687149066e-09,2.2654251605008e-07,1.55788549719253e-07,4165,"tags=70%, list=25%, signal=53%","13070/243881/15487/100041449/13112/72303/13122/231396/13090/69888/13094/112417/100043108/380997/241452/13114/107141/13101/13113/394434/433247/13098/13074/13075/100727/72094/13099/22238/56388/13105/13088/27400/13095/71773/13076/337924/622127/13106/545288/226105/223706/110115/72082/404195/208665/13097"
"mmu04974","Protein digestion and absorption",91,0.578847339154878,2.17564979204623,1.86406831228106e-09,2.2654251605008e-07,1.55788549719253e-07,2540,"tags=52%, list=15%, signal=44%","373864/20510/12829/77018/12835/12841/12816/69700/12828/140709/665033/13717/237759/70008/12833/20514/68553/12814/12825/12817/105243/12839/12824/56643/71355/12837/12818/245026/17288/12840/12842/12823/17287/30962/12819/73368/74338/215332/110893/232975/66473/67821/12836/20532/328059/56373/50934"
"mmu00830","Retinol metabolism",80,0.591032346814462,2.18154699089795,2.70877493867692e-09,2.36340613399561e-07,1.62526496320615e-07,4169,"tags=74%, list=25%, signal=56%","11761/71724/103142/243881/100041449/13112/213043/72303/19892/231396/233005/13090/69888/13094/13118/63857/13119/112417/666168/100043108/79235/435802/241452/13114/107141/13085/13113/394434/100040843/433247/13098/19683/100727/277753/72094/13099/22238/19378/107605/56388/13088/27400/13095/242285/71773/13076/337924/13087/622127/230639/13086/545288/226105/26876/72082/71872/404195/13097/20148"
"mmu04068","FoxO signaling pathway",123,-0.430301310593991,-2.14391216388305,6.46455694300689e-08,4.51226074621881e-06,3.10298733264331e-06,2736,"tags=41%, list=16%, signal=35%","56486/216439/14784/17246/21812/74769/16598/17873/20662/12795/16197/109880/26420/93739/105787/328572/17127/20663/22035/12053/108099/26413/18708/18607/12914/19079/20393/12176/13611/93759/74551/12359/17128/19211/58231/19374/67731/57436/19651/16337/12452/26416/12581/16001/20848/56458/20620/384783/21813/13609/12443"
"mmu04611","Platelet activation",120,-0.426960436863222,-2.11547434139693,1.39359697425457e-07,8.10608906691408e-06,5.57438789701828e-06,1679,"tags=35%, list=10%, signal=32%","14674/21390/11513/11848/21894/18747/18749/18798/18783/26413/14682/14724/14679/14678/18708/19046/19877/17096/14723/11515/16822/11461/108101/20619/20963/18441/18796/16416/14065/67938/26416/20866/18436/22371/54368/30955/215449/16399/14729/21391/19091/19224"
"mmu04820","Cytoskeleton in muscle cells",212,0.44106980228015,1.82863881116029,3.38617549601707e-07,1.6882503544428e-05,1.16097445577728e-05,3293,"tags=41%, list=20%, signal=33%","433182/22138/373864/13003/16772/17996/109620/242702/12829/14115/14119/109272/12835/12841/17880/241226/17884/17930/319480/109676/12828/665033/21828/13717/68794/229665/16773/12833/17882/544791/68802/68553/12814/17888/12825/15530/107765/12839/13527/17879/71355/13506/17883/17885/70549/241431/245026/140781/16404/12840/12842/100504518/320910/20391/24053/24131/232975/668940/13346/77579/50876/381485/667772/14268/433766/20743/67821/11459/109700/14118/74103/320502/21956/12343/13179/59006/58916/59011/14200/11468/22437/213119/21827/27222/16421/56642"
"mmu05033","Nicotine addiction",35,0.675930693434406,2.14140215887254,7.52680268032758e-07,3.28356766929291e-05,2.25804080409827e-05,3674,"tags=63%, list=22%, signal=49%","216227/14799/14406/14401/14812/14802/11440/14811/14394/11444/140919/14407/110886/216643/328699/14402/11438/14400/14399/14405/242443/12287"
"mmu04080","Neuroactive ligand-receptor interaction",247,0.417709121754761,1.74893868293628,1.03522533420845e-06,4.0143737959861e-05,2.76060089122254e-05,5467,"tags=57%, list=32%, signal=39%","110637/13610/14799/16846/69071/207911/14608/14803/14807/140498/15552/14406/14805/193034/22095/19220/26361/229214/14401/16644/245526/17200/14812/110834/14802/11440/18166/14811/15139/12311/14599/110835/11517/381489/14394/57385/11444/11447/108071/12061/217674/13035/14654/14804/12921/64095/213527/14407/18815/11539/233571/65086/13492/110886/216643/15562/108073/319239/328699/435206/14402/12425/12209/239336/12922/17201/11438/14400/14806/18168/14289/108043/11516/15566/239845/14399/17171/13490/13488/22045/14405/242425/12267/71897/13489/67405/28078/18610/15563/18390/15874/14309/242443/18155/93896/11552/276742/15559/11542/12062/15564/215854/19111/319229/116903/19773/224065/12266/108069/22094/433292/57249/12273/15560/18619/15557/12854/18386/19109/231252/15465/14061/12669/58861/387285/11609/11435/19116/21334/14294/18169/67168/13618/19222/16847/237213/56872/319552/14823/17199/14408/227717"
"mmu05205","Proteoglycans in cancer",179,-0.345005757781505,-1.78602034811153,3.98893803952237e-06,0.000126558125072119,8.70313754077609e-05,2731,"tags=34%, list=16%, signal=28%","20104/14784/17246/14366/57257/16412/232807/14083/74769/29875/20544/20662/12387/109880/14371/22324/15234/19878/13039/16402/20663/12402/11848/18747/18749/327826/19303/26413/13207/18708/18607/20130/19046/19877/12505/12540/11461/14368/14370/19353/16416/14388/15163/12367/13043/12512/108058/18803/26416/17698/17390/16419/12390/13982/16001/20848/21898/20971/20969/12443"
"mmu04148","Efferocytosis",157,-0.348564407921235,-1.75984442688815,3.86800003298852e-06,0.000126558125072119,8.70313754077609e-05,2709,"tags=34%, list=16%, signal=29%","68365/19219/12912/11303/71732/70676/228545/14083/76295/218035/20312/271457/140580/73122/13435/69981/53313/16452/26413/19261/12369/18018/20393/18021/19128/12894/93759/11487/18442/19353/12929/380713/105722/16416/16889/19344/20698/22260/12367/108058/13857/269338/26416/12484/16419/17304/18019/319520/13537/12928/18514/11980/14456/13609"
"mmu04144","Endocytosis",233,-0.305864801654652,-1.65038828370938,6.9598958211694e-06,0.000202416970132343,0.000139197916423388,3944,"tags=42%, list=23%, signal=33%","11844/18719/22088/56378/213990/66713/19349/30930/14964/107305/227288/216238/208650/218441/66201/77407/18571/17999/15481/66700/215445/20844/68953/19157/72183/69150/14972/77038/106952/259300/18806/100017/216439/16396/17274/13196/17246/21812/16004/116733/55988/11773/56324/26431/215280/69091/107568/58194/347722/22034/65114/73178/19334/211673/11842/271457/76959/234852/71770/70527/319740/330192/11845/19341/27965/67771/17127/52055/73728/15239/12402/11848/71955/11843/19159/67588/11841/69780/215632/74325/13858/78618/12540/19325/18717/11772/18854/56443/19344/53869/66313/19326/69710/16186/109689/12390/16001/15040/21813"
"mmu04136","Autophagy - other",31,-0.600328511868533,-2.19228844965004,1.98700051907654e-05,0.000495330843684081,0.000340628660413122,4623,"tags=71%, list=27%, signal=52%","19053/67526/666468/76559/74244/19052/51897/66795/68118/56486/74781/11793/29869/235040/242557/225326/93739/75669/66615/245860/329015/57436"
"mmu04659","Th17 cell differentiation",100,-0.398766637171624,-1.9013147324894,1.86794392775221e-05,0.000495330843684081,0.000340628660413122,2288,"tags=38%, list=14%, signal=33%","16189/50498/15001/12503/16180/20846/16190/26420/17127/16151/14998/16452/26413/18018/19883/18021/18037/19885/50931/16453/19055/17128/18761/16451/16186/18803/26416/19697/18019/60504/15979/14281/20848/20850/16177/15002/20851/21813"
"mmu04082","Neuroactive ligand signaling",163,0.42727249000874,1.7343702253835,3.32459453498609e-05,0.000773522328473431,0.000531935125597775,4582,"tags=50%, list=27%, signal=37%","216227/14688/20510/110637/11514/224129/14799/20511/13162/243616/14807/15552/14406/14805/14401/15567/432530/14812/110834/14802/11440/232333/14811/20538/14394/14411/57385/12647/11444/108071/104245/20512/14681/14654/140919/18752/14407/11539/233571/13492/110886/15561/216643/15562/108073/328699/14402/14706/17201/11438/14400/14806/57014/15566/14399/13490/13488/63993/14699/14405/242425/13489/18610/15563/18390/242443/14695/18155/11552/15559/11542/15564/210044/242607/108069/57249/15560/18619/15557/18386/15465/228993"
"mmu00591","Linoleic acid metabolism",42,0.59130111565116,1.9705156818061,4.30226126791939e-05,0.000834160656946592,0.000573634835722585,4165,"tags=79%, list=25%, signal=59%","271844/66350/665270/329502/100041449/13112/26565/72303/69888/18782/100043108/13114/107141/13113/78390/433247/13098/13099/56388/13095/242546/69836/337924/230459/622127/13106/545288/226105/26971/72082/404195/18784/13097"
"mmu04137","Mitophagy - animal",97,-0.388442682811625,-1.83429385180274,4.16596860370105e-05,0.000834160656946592,0.000573634835722585,3322,"tags=37%, list=20%, signal=30%","17532/17342/15251/100756/16476/56480/68350/23806/56486/72018/71648/20437/20683/271457/26420/93739/233204/17966/245860/20130/270096/12176/209446/170731/66734/18412/270151/23802/22241/19344/57436/66313/19697/12177/67443/68943"
