"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"BP","GO:0007179","transforming growth factor beta receptor signaling pathway",195,-0.348135517044419,-1.86062661747752,4.56024589455918e-07,3.41216176610488e-05,2.68992282201483e-05,1839,"tags=24%, list=10%, signal=22%","Ep300/Ltbp4/Gdf15/Smad3/Arid4a/Fam89b/Pxn/Spred2/Spry2/Smad5/Chst11/Zeb2/Pdpk1/Ski/Smad1/Crebbp/Hdac1/Bcl9l/Skil/Sirt1/Ogt/Pml/Emilin1/Smad4/Cdkn1c/Furin/Lats2/Lgals9/Spry1/Smurf2/Arap1/Prdm16/Zbtb7a/Spred1/Itgb5/Cav2/Ltbp3/Fos/Stat3/Zyx/Sdcbp/Tgfbr2/Eng/Tsc22d1/Smad7/Tgfbr3/Gcnt2"
"BP","GO:0050863","regulation of T cell activation",358,-0.279479378343609,-1.55439705795485,5.76424823313514e-07,4.27347614421698e-05,3.36892615228719e-05,2525,"tags=28%, list=14%, signal=25%","Dpp4/Traf6/Sos1/Ctnnb1/Il4/Irgm1/Il7r/Rasal3/Zeb1/Braf/H2-Oa/Clec4g/Coro1a/Ap3b1/Loxl3/Zmiz1/Il4ra/Vav1/Gimap5/Arid2/Prkaa1/Clptm1/Socs6/Cd300a/Ep300/Fbxo38/Sos2/Nckap1l/Bcl6/Shb/Rhoa/H2-DMa/Irf1/Btla/Jak2/Lgals8/Bmp4/Spn/Sirpa/Brd2/Cyp26b1/Ndfip1/Zc3h12a/Lax1/Sh2b3/Il18/Tspan32/Rorc/Nck1/Prkar1a/Tnfsf4/Cd44/Efnb1/Zfp608/Nrarp/Actb/Jak3/Il12a/Syk/Ppp3ca/Anxa1/Ctla2a/Cd55/Pten/Il15/Prkcq/Sox4/Rag2/Socs5/Bmi1/Lgals9/Casp3/Klhl22/Nfkbiz/Rhoh/Tnfrsf21/Il2rg/Egr3/Nfkbid/Cd24a/Vnn1/Cd274/Tnfrsf13c/Sash3/Adora2a/Peli1/Stat5a/H2-T23/Tnfrsf1b/Laptm5/Hes1/Pf4/Slamf1/Smarca2/H2-Ob/Stat5b/Cd81/Cd27/Tgfbr2/Sdc4/Smad7"
"BP","GO:0031396","regulation of protein ubiquitination",193,-0.337505722610648,-1.82198016030616,6.23839360320591e-07,4.58295079159154e-05,3.61289551067963e-05,3222,"tags=30%, list=18%, signal=25%","Bag5/Tbc1d7/Cdc14b/Psmd10/Mad2l2/Gnl3l/Ubxn2a/Rnf111/Fyn/Phf23/Gabarap/Abl1/Atg5/Tgfbr1/Birc2/Gsk3b/Ctnnb1/Hspbp1/Mapk9/Nmi/Tnfaip3/Spry2/Btrc/Fbxo4/Pef1/Birc3/Prkce/Trim44/Trib3/Ube3a/Ndfip1/Bex1/Trib1/Derl1/Rassf5/Pttg1ip/Dnajb2/Sqstm1/Rchy1/Ogt/Pten/Dcun1d1/Herpud1/Sox4/Siah2/Sphk1/Bmi1/Bex4/Arrb1/Wbp1l/Fbxo33/Trib2/Peli1/Arrdc4/Laptm5/Pink1/Smad7/Angpt1"
"BP","GO:0010543","regulation of platelet activation",49,-0.555255201706286,-2.32083711799965,6.39865783196447e-07,4.65833819280224e-05,3.67232595533893e-05,1589,"tags=43%, list=9%, signal=39%","Jak2/Pla2g4a/Gnaq/Gp1bb/Sh2b3/Lyn/Gp1ba/Syk/Emilin1/Prkcq/Cd9/F11r/Mfsd2b/Gp9/Tlr4/Plek/Pear1/Gp5/Prkg1/Apoe/Mmrn1"
"BP","GO:0061515","myeloid cell development",93,-0.437696609375852,-2.14869423399121,6.72020379955861e-07,4.84874704502081e-05,3.82243171004969e-05,2614,"tags=42%, list=14%, signal=36%","App/Klf2/Abi1/Rhd/Maea/Abcb10/Zfp385a/Notch2/Myb/Ptbp3/Atp6ap1/Rhag/Ep300/Arid4a/Nckap1l/Bcl6/Ninj1/Bpgm/Gp1bb/Pafah1b1/Nbeal2/Wasf2/Sh2b3/Fam210b/Gp1ba/Itgam/Rac1/Tmod3/Pip4k2a/Zbtb7a/Tal1/Sox6/Gp9/Gata1/Fli1/Gp5/Klf1/Kit/Meis1"
"BP","GO:0090287","regulation of cellular response to growth factor stimulus",286,-0.298107007364478,-1.6300577501495,7.47459528032571e-07,5.3453278283462e-05,4.21390317992838e-05,1978,"tags=25%, list=11%, signal=22%","Cyfip1/Notch2/Vasn/Fgfbp3/Flcn/Cyfip2/Ep300/Gdf15/Smad3/Arid4a/Crim1/Hgs/Fam89b/Bmp4/Spred2/Spry2/Tob1/Chst11/Zeb2/Pdpk1/Lemd2/Ski/Crebbp/Sfrp1/Hdac1/Ptp4a3/Dstyk/Cflar/Bcl9l/Vegfc/Skil/Notch1/Rbpms2/Sirt1/Tcf7l2/Atp2b4/Ogt/Il12a/Emilin1/Ulk1/Smad4/Runx2/Myof/Zdhhc17/Cdkn1c/Tcf4/Furin/Lats2/Cd63/Spry1/Smurf2/Prdm16/Gdf3/Ilk/Fstl1/Zbtb7a/Spred1/Hhex/Cav2/Adgrg1/Tek/Hes1/Sdcbp/Grb10/Eng/Tsc22d1/Prkd2/Nrxn1/Smad7/Angpt1/Tgfbr3"
"CC","GO:0005604","basement membrane",107,0.503767731155975,1.92493955980259,7.60797935549648e-07,5.3929895764708e-05,4.25147655212047e-05,3194,"tags=42%, list=17%, signal=35%","Sparc/Ush2a/Anxa2/Lama1/Hmcn1/Lama3/Lamb1/Fras1/Pxdn/Col4a4/Lamc2/Frem1/Col4a3/Thbs4/Matn2/Col23a1/Vegfa/Lama2/Col6a1/Frem2/Hspg2/Ntn1/Col2a1/Tnc/Egfl6/Acta2/Acan/Alb/Col8a1/Vtn/Smoc2/Nphs1/Col15a1/Cst3/Egflam/Papln/Fn1/Vwa2/Efna5/Col7a1/Fbn1/Lamc3/Lad1/Amtn/Npnt"
"BP","GO:0043409","negative regulation of MAPK cascade",155,-0.36347531280102,-1.91317523268226,7.83421559244523e-07,5.49131249593539e-05,4.32898784353174e-05,1505,"tags=23%, list=8%, signal=21%","Phlpp1/Spred2/Spry2/Sirpa/Pafah1b1/Zmynd11/Vrk3/Lemd2/Sfrp1/Smpd1/Lax1/Sh2b3/Lyn/Dusp1/Inpp5k/Emilin1/Dag1/Smad4/Taok3/Rgs14/Spry1/Arrb1/Dok1/Mecom/Spred1/Dusp4/Igf1r/Tlr4/Irak3/Foxo1/Dusp2/Per1/Efna1/Dusp6/Apoe"
"BP","GO:0034612","response to tumor necrosis factor",187,-0.335797681170908,-1.81525080801466,7.88259187635819e-07,5.49131249593539e-05,4.32898784353174e-05,2715,"tags=29%, list=15%, signal=25%","Birc2/Naip2/Abcb1a/Plvap/Klf2/Traf6/Cx3cl1/Hyal3/Stat1/Trim32/Spata2/Tifa/Ikbkg/Commd7/Irf1/Map4k3/Jak2/Zfp36l1/Mapk1/Birc3/Cdip1/Zc3h12a/Zfand6/Asah1/Sfrp1/Ptk2b/Aim2/Smpd1/Rora/Sirt1/Cpne1/Adam10/Tnfrsf18/Inpp5k/Syk/Traf5/Zfp36l2/Hipk1/Sphk1/Insr/Tnfrsf21/Zfp36/Mapk14/Ilk/Tnfrsf13c/Rela/Naip5/Fos/Tnfrsf1b/Laptm5/Hes1/Sgms1/Krt18/Gas6/Gch1"
"BP","GO:0045646","regulation of erythrocyte differentiation",48,-0.564607929736627,-2.35940968712095,8.45060316283603e-07,5.83669437255367e-05,4.60126408830262e-05,3426,"tags=52%, list=19%, signal=42%","Acvr2a/Kat7/Ankrd54/Hif1a/Zfpm1/Klf13/Abcb10/Stat1/Hoxa5/Nckap1l/Zfp36l1/Lyn/Fam210b/Inpp5d/Zfp36/Mapk14/Ets1/Tal1/Stat3/Stat5a/Gfi1b/Gata1/Stat5b/Lmo2/Gata2"
