"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"BP","GO:1905037","autophagosome organization",128,-0.540575883865426,-2.7262997451833,1e-10,2.60193807975942e-08,2.05119601647842e-08,4027,"tags=50%, list=22%, signal=39%","Rab7/Spg11/Rab1b/Atg7/Mtm1/Ambra1/Dnajc16/Smcr8/Tgtp1/Stx12/Trp53inp2/Snx4/Atg13/Ubxn2a/Atg10/Cln3/Ctsd/Phf23/Atg101/Gabarap/Wipi2/Atg5/Ulk2/Ubqln2/Atg4d/Lrsam1/Atg4c/Traf6/Pik3c2a/Irgm1/Pik3c3/Rb1cc1/Trim32/Atg14/Gabarapl2/Rab33b/Wdr45b/Iigp1/Rab3gap1/Atg4b/Pip4k2c/F830016B08Rik/Snx30/Ulk3/Irgm2/Atg9a/Nupr1/Wdr45/Efnb1/Mfn2/Map1lc3a/Gm12185/Mtmr3/Ulk1/Atg2a/Pip4k2a/Ralb/Gabarapl1/Ifi47/Tgtp2/Trp53inp1/Map1lc3b/Rab43/Pink1"
"BP","GO:0000045","autophagosome assembly",121,-0.540303715603729,-2.72299213517438,1e-10,2.60193807975942e-08,2.05119601647842e-08,4027,"tags=50%, list=22%, signal=39%","Rab7/Rab1b/Atg7/Mtm1/Ambra1/Smcr8/Tgtp1/Stx12/Trp53inp2/Snx4/Atg13/Ubxn2a/Atg10/Ctsd/Phf23/Atg101/Gabarap/Wipi2/Atg5/Ulk2/Ubqln2/Atg4d/Lrsam1/Atg4c/Traf6/Irgm1/Pik3c3/Rb1cc1/Trim32/Atg14/Gabarapl2/Rab33b/Wdr45b/Iigp1/Rab3gap1/Atg4b/Pip4k2c/F830016B08Rik/Snx30/Ulk3/Irgm2/Atg9a/Nupr1/Wdr45/Efnb1/Mfn2/Map1lc3a/Gm12185/Mtmr3/Ulk1/Atg2a/Pip4k2a/Ralb/Gabarapl1/Ifi47/Tgtp2/Trp53inp1/Map1lc3b/Rab43/Pink1"
"BP","GO:0030218","erythrocyte differentiation",148,-0.458626888822926,-2.39473714191062,1e-10,2.60193807975942e-08,2.05119601647842e-08,3426,"tags=44%, list=19%, signal=36%","Acvr2a/Ehbp1l1/Kat7/Ankrd54/Dyrk3/Rps19/Hif1a/Bap1/Sp3/Zfpm1/Rps6/Fech/Klf2/Klf13/Tcea1/Cebpg/Rhd/Sp1/Maea/Hscb/Abcb10/Stat1/Chmp5/Myb/Ptbp3/Hoxa5/Rhag/Arid4a/Nckap1l/Bcl6/Bpgm/Jak2/Bmp4/Zfp36l1/Smad5/Rcor1/Kmt2e/Cflar/Add1/Sh2b3/Lyn/Fam210b/Ikzf1/Inpp5d/Rac1/Tmod3/Hcls1/Casp3/Slc48a1/Zfp36/Mapk14/Ets1/Zbtb7a/Tal1/Stat3/Sox6/Stat5a/Gfi1b/Gata1/Klf1/Stat5b/Kit/Lmo2/Tgfbr3/Gata2"
"CC","GO:0005581","collagen trimer",67,0.663697822481447,2.35899467954477,1e-10,2.60193807975942e-08,2.05119601647842e-08,1602,"tags=49%, list=9%, signal=45%","Col27a1/Emilin2/Col4a4/Col25a1/Col6a3/Col9a3/Col12a1/Ccbe1/Col4a3/Col26a1/C1qtnf1/Col6a5/Col23a1/Col6a1/Col6a4/Col11a1/Col3a1/Col13a1/C1qtnf6/Sftpa1/Col9a1/Col2a1/Gldn/Col24a1/Col8a1/Fcnb/Col14a1/Col6a6/Col9a2/Col1a1/Col19a1/Col15a1/Col20a1"
"BP","GO:0007033","vacuole organization",224,-0.426752453365635,-2.33666337736796,1e-10,2.60193807975942e-08,2.05119601647842e-08,4852,"tags=56%, list=27%, signal=42%","Atg12/Vps33a/Tfeb/Rab23/Atg4a/Fez2/Atg2b/Ppp3cb/Rab20/Snx18/Acp2/Cln6/Chmp2b/Zkscan3/Lamtor1/Gm4841/Chmp7/Vps4b/Bag3/Atp13a2/Fnip1/Rab7/Spg11/Rab1b/Atg7/Gaa/Mtm1/Vps54/P2rx7/Idua/Ambra1/Dnajc16/Smcr8/Tgtp1/Hspa8/Chmp3/Stx12/Lyst/Gnptab/Trp53inp2/Cln5/Chmp2a/Snx4/Atg13/Ubxn2a/Atg10/Hook1/Cln3/Ctsd/Tmem106b/Phf23/Atg101/Gabarap/Wipi2/Rab14/Abca1/Atg5/Ulk2/Vps11/Ubqln2/Atg4d/Lrsam1/Vps18/Vps4a/Atg4c/Traf6/Cln8/Vps35/Pik3c2a/Irgm1/Pik3c3/Rb1cc1/Coro1a/Tmem175/Ap3b1/Chmp5/Trim32/Chmp1a/Mbtps1/Atg14/Gabarapl2/Flcn/Rab33b/Hexb/Atf2/Lamp2/Wdr45b/Iigp1/Rab3gap1/Mcoln1/Naglu/Atg4b/Pip4k2c/F830016B08Rik/Snx30/Ulk3/Irgm2/Atg9a/Tmem9/Nupr1/Wdr45/Tpp1/Laptm4b/Efnb1/Tfe3/Mfn2/Map1lc3a/Gm12185/Mtmr3/Ulk1/Arl8b/Lipa/Atg2a/Pip4k2a/Ralb/Gabarapl1/Ifi47/Tgtp2/Creg1/Trp53inp1/Aktip/Npr2/Map1lc3b/Rab43/Laptm5/Pink1"
"BP","GO:0034101","erythrocyte homeostasis",162,-0.446644341133868,-2.32592278376925,1e-10,2.60193807975942e-08,2.05119601647842e-08,2535,"tags=42%, list=14%, signal=36%","Acvr2a/Ehbp1l1/Kat7/Ankrd54/Dyrk3/Rps19/Hif1a/Bap1/Sp3/Zfpm1/Rps6/Fech/Klf2/Klf13/Tcea1/Cebpg/Rhd/Sp1/Maea/Hscb/Abcb10/Stat1/Chmp5/Myb/Ptbp3/Hoxa5/Rhag/Arid4a/Nckap1l/Bcl6/Hmox1/Bpgm/Jak2/Bmp4/Zfp36l1/Smad5/Rcor1/Kmt2e/Cflar/Add1/Sh2b3/Lyn/Fam210b/Ikzf1/Inpp5d/Rac1/Tmod3/Hcls1/Casp3/Slc48a1/Ampd3/Zfp36/Mapk14/Ets1/Cd24a/Zbtb7a/Tal1/Stat3/Sox6/Stat5a/Gfi1b/Gata1/Klf1/Stat5b/Kit/Lmo2/Tgfbr3/Gata2"
"BP","GO:0016236","macroautophagy",296,-0.420544826912446,-2.26889078700153,1e-10,2.60193807975942e-08,2.05119601647842e-08,4368,"tags=47%, list=24%, signal=36%","Gm4841/Chmp7/Vps4b/Bag3/Hspb8/Atp13a2/Tlr2/Bcl2l13/Wdr81/Mapk3/Rab7/Spg11/Rab1b/Atg7/Gaa/Rab2a/Epg5/Vamp8/Calm2/Mtm1/Ambra1/Acbd5/Dnajc16/Tmem74/Tbc1d25/Pdcd6ip/Smcr8/Tgtp1/Nipsnap3b/Hdac10/Chmp3/Stx12/Trp53inp2/Hif1a/Usp30/Armc3/Chmp2a/Nod1/Snx4/Atg13/Prkaa2/Ubxn2a/Sesn3/Tbk1/Atg10/Mul1/Cln3/Ctsd/Sptlc2/Phf23/Atg101/Gabarap/Wipi2/Fundc1/Optn/Atg5/Vti1b/Snap29/Ulk2/Ubqln2/Uvrag/Atg4d/Lrsam1/Vps4a/Zfyve1/Lypla1/Atg4c/Wac/Traf6/Eif2ak1/Vps41/Ubxn6/Pik3c2a/Il4/Irgm1/Pik3c3/Rb1cc1/Vti1a/Chmp5/Trim32/Pex5/Chmp1a/Atg14/Gabarapl2/Pik3r4/Rab2b/Rab33b/Lamp2/Wdr45b/Pafah1b2/Ikbkg/Nbr1/Iigp1/Rab3gap1/Mcoln1/Hmox1/Atg4b/Pip4k2c/F830016B08Rik/Snx30/Ulk3/Lgals8/Tecpr1/Irgm2/Rnf41/Ei24/Gnai3/Atg9a/Nupr1/Abi2/Wdr45/Adrb2/Bnip3/Wdfy3/Efnb1/Sirt1/Mfn2/Map1lc3a/Sqstm1/Gm12185/Ogt/Qsox1/Mtmr3/Ulk1/Arl8b/Atg2a/Cttn/Pip4k2a/Ralb/Gabarapl1/Sesn1/Ifi47/Vps39/Tgtp2/Trp53inp1/Bnip3l/Map1lc3b/Rab43/Pink1"
"MF","GO:0022843","voltage-gated monoatomic cation channel activity",111,0.582034049548346,2.23217783256121,1e-10,2.60193807975942e-08,2.05119601647842e-08,4906,"tags=58%, list=27%, signal=42%","Cacna1e/Catsper3/Cacna1c/Kcna2/Kcnh8/Kcnma1/Hcn1/Ryr1/Kcnq2/Cnga2/Cacna2d3/Cacna1f/Kcnj8/Tmc2/Kcnh5/Cacna1i/Kcnh7/Scn2b/Cacnb3/Cacna1d/Kcnc2/Grin2a/Cacna1s/Rimbp2/Kcnj15/Kcnj6/Kcna1/Kcnh1/Trpa1/Kcnk16/Kcnt2/Kcnj12/Snap25/Kcnk9/Kcnn3/Cacna2d1/Grm7/Lrrc55/Kcnh3/Kcnq3/Cacng4/Kcnk10/Catsper4/Oprm1/Cacng5/Kcng4/Tmc1/Kcnj13/Calhm1/Kcnj9/Kcnh4/Cachd1/Cacna1b/Cacng1/Kcnv1/Kcne2/Kcne1/Kcnn2/Kcnk5/Hcn4/Kcnip2/Kcnj2/Kcnt1/Lrrc38"
"MF","GO:0005244","voltage-gated monoatomic ion channel activity",135,0.555959217109195,2.17016165668432,1e-10,2.60193807975942e-08,2.05119601647842e-08,4906,"tags=54%, list=27%, signal=40%","Cacna1e/Catsper3/Cacna1c/Kcna2/Kcnh8/Kcnma1/Hcn1/Ryr1/Kcnq2/Scn1a/Cnga2/Cacna2d3/Cacna1f/Kcnj8/Clcnka/Tmc2/Kcnh5/Cacna1i/Kcnh7/Scn2b/Cacnb3/Cacna1d/Scn10a/Clcn1/Kcnc2/Grin2b/Ano1/Grin2a/Cacna1s/Rimbp2/Clcnkb/Kcnj15/Kcnj6/Kcna1/Kcnh1/Slc17a3/Trpa1/Kcnk16/Kcnt2/Kcnj12/Snap25/Kcnk9/Kcnn3/Cacna2d1/Grm7/Lrrc55/Kcnh3/Kcnq3/Cacng4/Kcnk10/Catsper4/Oprm1/Cacng5/Kcng4/Tmc1/Kcnj13/Grin3a/Calhm1/Kcnj9/Kcnh4/Cachd1/Cacna1b/Cacng1/Kcnv1/Kcne2/Kcne1/Kcnn2/Kcnk5/Hcn4/Kcnip2/Kcnj2/Kcnt1/Lrrc38"
"MF","GO:0022832","voltage-gated channel activity",136,0.553365745777571,2.159194580656,1e-10,2.60193807975942e-08,2.05119601647842e-08,4906,"tags=54%, list=27%, signal=40%","Cacna1e/Catsper3/Cacna1c/Kcna2/Kcnh8/Kcnma1/Hcn1/Ryr1/Kcnq2/Scn1a/Cnga2/Cacna2d3/Cacna1f/Kcnj8/Clcnka/Tmc2/Kcnh5/Cacna1i/Kcnh7/Scn2b/Cacnb3/Cacna1d/Scn10a/Clcn1/Kcnc2/Grin2b/Ano1/Grin2a/Cacna1s/Rimbp2/Clcnkb/Kcnj15/Kcnj6/Kcna1/Kcnh1/Slc17a3/Trpa1/Kcnk16/Kcnt2/Kcnj12/Snap25/Kcnk9/Kcnn3/Cacna2d1/Grm7/Lrrc55/Kcnh3/Kcnq3/Cacng4/Kcnk10/Catsper4/Oprm1/Cacng5/Kcng4/Tmc1/Kcnj13/Grin3a/Calhm1/Kcnj9/Kcnh4/Cachd1/Cacna1b/Cacng1/Kcnv1/Kcne2/Kcne1/Kcnn2/Kcnk5/Hcn4/Kcnip2/Kcnj2/Kcnt1/Lrrc38"
"MF","GO:0022836","gated channel activity",256,0.518391008022002,2.1506709493566,1e-10,2.60193807975942e-08,2.05119601647842e-08,5150,"tags=56%, list=28%, signal=41%","Cacna1e/Ryr2/Catsper3/Cacna1c/Grik4/Kcna2/Piezo2/Kcnh8/Gria1/Kcnma1/Tmc5/Scn7a/Hcn1/Ryr1/Grid1/Slc1a5/Clca1/Clca4b/Kcnq2/Grik3/Clca4a/Clca2/Scn1a/Cnga2/Gabrg2/Grik1/Trpv1/Cacna2d3/Cacna1f/Kcnj8/Clcnka/Tmc2/Asic2/Kcnh5/Cacna1i/Pkd2l1/Trpm8/Gabrb2/Tmc7/Kcnh7/Scn2b/Cacnb3/Cacna1d/Ano2/Scn10a/Clcn1/Kcnc2/Grin2b/Chrna3/Ano1/Gria4/Chrna6/Ryr3/Trpc3/Scnn1b/Grin2a/Cacna1s/Ano5/Tmem63c/Rimbp2/Clcnkb/Chrna5/Gabra1/Kcnj15/Kcnj6/Kcna1/Chrnb2/Chrnd/Clca3a2/Cngb3/Ttyh2/Kcnh1/Glra1/Clca3b/Grid2/Slc17a3/Tmc3/Trpa1/Kcnk16/Kcnt2/Gabrg3/Kcnj12/Snap25/Kcnk9/Kcnn3/Cacna2d1/Gabra5/Htr3a/Gabrp/Grm7/Lrrc55/Gabrb3/Chrna4/Gabrb1/Ano4/Grik2/Chrnb3/Kcnh3/Cnga4/Kcnq3/Cacng4/Htr3b/Gabra6/Kcnk10/Gabrg1/Catsper4/Scnn1g/Tmem150c/Cnga3/Oprm1/Cacng5/Kcng4/Tmc1/Kcnj13/Grin3a/Calhm1/Kcnj9/Kcnh4/Cachd1/Ano7/Cacna1b/Cacng1/Kcnv1/Kcne2/Kcne1/Cnga1/Trpm2/Kcnn2/Slc1a7/Kcnk5/Hcn4/Kcnmb2/Ano9/Gabrq/Kcnip2/Kcnj2/Kcnt1/Lrrc38/Best3/Kcnmb3/Chrna9/Mcoln3/Kcnmb1"
"MF","GO:0005201","extracellular matrix structural constituent",128,0.552287823400323,2.1366266582336,1e-10,2.60193807975942e-08,2.05119601647842e-08,2524,"tags=48%, list=14%, signal=42%","Igfbp7/Sparc/Col27a1/Emilin2/Vcan/Lama1/Hmcn1/Lama3/Lamb1/Fras1/Pxdn/Col4a4/Col25a1/Fbln2/Fbn2/Col6a3/Lamc2/Col9a3/Col12a1/Col22a1/Col4a3/Col6a5/Thbs4/Matn2/Eln/Col23a1/Lama2/Col6a1/Tecta/Col6a4/Col11a1/Col3a1/Col13a1/Zp2/Hspg2/Col9a1/Reln/Ntn1/Col2a1/Ltbp1/Tnc/Col24a1/Dmbt1/Muc2/Col8a1/Zp3/Col14a1/Col6a6/Tectb/Vtn/Col9a2/Col1a1/Spon1/Col19a1/Col15a1/Pcolce2/Creld2/Papln/Fn1/Slit2/Col7a1/Fbn1"
"BP","GO:0000209","protein polyubiquitination",240,-0.379644448709385,-2.06546519139507,1e-10,2.60193807975942e-08,2.05119601647842e-08,3762,"tags=37%, list=21%, signal=30%","Rnf4/Xiap/Ambra1/Ube2d2a/Zfp91/Ube2d1/Ube3c/Ppil2/Rnf40/Nedd4/Anapc2/Cdc23/Ptpn22/Rnf135/Rnf26/Rnf170/Mkrn3/Trim30d/Rnf111/Mul1/Cbfb/Fbxo9/Gabarap/Itch/Klhl20/G2e3/Fbxo22/Lrsam1/Trim3/Birc2/Ubr2/Rnf146/Fbxo28/Anapc7/Traf6/Ube2e2/Rnf167/Ctnnb1/Tmem129/Spsb3/Trim25/Trim12a/Rnf14/Trim32/Ube2r2/Ube2j2/Rnf216/Irf2bp1/Ube4b/Ube3b/Fbxo38/Nmi/Cbl/Trim26/Ube2b/Tnfaip3/Ttc3/Ube2j1/Rnf166/Fbxw11/Rnf41/Btrc/Spop/Fbxo4/Mgrn1/Birc3/Trim44/Wsb2/Ube3a/Trim62/Rnf185/Tnks2/Rmnd5a/Arih2/Rnf114/Amfr/Kbtbd2/Ube2e3/Ube2l6/Mkrn1/Peli1/Rnf125/Kbtbd7/Arrdc4/Trim8/Wsb1/Ube2h/Rnf144a"
"MF","GO:0003713","transcription coactivator activity",253,-0.366173506219994,-2.0320685581204,1.03034300893827e-10,2.60193807975942e-08,2.05119601647842e-08,3092,"tags=32%, list=17%, signal=27%","Trim30d/Ctbp2/Brd4/Cbfb/Arid5b/Yaf2/Supt7l/Birc2/Med20/Rxrb/Tada1/Zxdb/Jmy/Ss18/Nup98/Usp22/Crtc3/Maml2/Ctnnb1/Mta2/Hipk2/Zmiz1/Ctbp1/Trim25/Trim12a/Kmt2d/Lpin1/Trim32/Wwtr1/Ssbp3/Xpc/Ep300/Taf12/Pbxip1/Med14/Bcl3/Pkn1/Mid2/Pdlim1/Kdm5a/Ncoa1/Kmt2e/Jup/Nupr1/Kmt2c/Ube3a/Trim62/Crebbp/Cnot6/Kat6a/Fiz1/Rap2c/Bcl9l/Notch1/Sirt1/Zxdc/Calcoco1/Pml/Acss2/Dyrk1b/Dyrk1a/Nr3c1/Ncoa2/Camta2/Tacc1/Maged1/Prdm16/Arrb1/Prmt2/Ets1/Cd274/Sertad2/Wbp2/Jund/Sertad1/Ncoa7/Nrip1/Trim8/Smarca2/Rbpms/Tsc22d1/Lmo2"
"MF","GO:0005216","monoatomic ion channel activity",358,0.480335404774905,2.02411952136447,1e-10,2.60193807975942e-08,2.05119601647842e-08,4954,"tags=51%, list=27%, signal=38%","Slc17a8/Cacna1e/Pkd1l2/Trpm3/Slc1a1/Ryr2/Catsper3/Cacna1c/Slc4a11/Grik4/Abcc9/Scn3a/Kcna2/Piezo2/Unc80/Kcnh8/Abcc8/Gria1/Kcnma1/Scn8a/Scn4b/Tmc5/Scn7a/Hcn1/Ano3/Ryr1/Oca2/Grid1/Trpm1/Clca1/Clca4b/Kcnq2/Grik3/Clca4a/Clca2/Scn1a/Cnga2/Gabrg2/Grik1/Trpv1/Scn9a/Cacna2d3/Cacna1f/Kcnj8/Clcnka/Trpv3/Tmc2/Asic2/Kcnh5/Slc9c1/Trpm6/Cacna1i/Pkd2l1/Trpm8/Gabrb2/Slc6a4/Tmc7/Kcnh7/Scn2b/Cacnb3/Cacna1d/Ano2/Scn10a/Clcn1/Kcnc2/Grin2b/Chrna3/Ano1/Gria4/Chrna6/Ryr3/Trpc3/Scnn1b/Grin2a/Cacna1s/Ano5/Tmem63c/Trpc4/Kcnu1/Rimbp2/Clcnkb/Chrna5/Nalcn/Scn5a/Panx3/Gabra1/Kcnj15/Apol10b/Kcnj6/Kcna1/Chrnb2/Chrnd/Clca3a2/Cngb3/Apol10a/Slc26a7/Ttyh2/Kcnh1/Glra1/Clca3b/Slc17a6/Grid2/Fxyd4/Slc17a3/Tmc3/Trpa1/Kcnk16/Kcnt2/Gabrg3/Kcnj12/Snap25/Kcnk9/Kcnn3/Cacna2d1/Gabra5/Scn4a/Htr3a/Gabrp/Grm7/Lrrc55/Gabrr3/Gabrb3/Chrna4/Gabrb1/Ano4/Grik2/Chrnb3/Kcnh3/Cnga4/Kcnq3/Otop3/Cacng4/Trpv6/Htr3b/Otop1/Gabra6/Kcnk10/Trpc5/Trpc7/Gabrg1/Catsper4/Apol8/Scnn1g/Tmbim7/Tmem150c/Cnga3/Kcnip4/Oprm1/Cacng5/Kcng4/Tmc1/Slc24a3/Kcnj13/Grin3a/Calhm1/Tomm40/Kcnj9/Kcnh4/Cachd1/Ano7/Cacna1b/Cacng1/Kcnv1/Faim2/Kcne2/Slc24a4/Kcne1/Pkd1l3/Cnga1/Trpm2/Kcnn2/Slc1a7/Kcnk5/Hcn4/Kcnmb2/Ano9/Gabrq/Kcnip2/Kcnj2/Kcnt1/Lrrc38/Lrrc8c/Best3"
"MF","GO:0015267","channel activity",404,0.472111981417637,2.00482280506234,1e-10,2.60193807975942e-08,2.05119601647842e-08,4729,"tags=49%, list=26%, signal=37%","Slc17a8/Cacna1e/Pkd1l2/Trpm3/Slc1a1/Ryr2/Catsper3/Cacna1c/Slc4a11/Grik4/Abcc9/Scn3a/Kcna2/Piezo2/Unc80/Kcnh8/Abcc8/Gria1/Gsdmc4/Kcnma1/Scn8a/Scn4b/Tmc5/Scn7a/Hcn1/Ano3/Ryr1/Oca2/Grid1/Slc1a5/Trpm1/Clca1/Clca4b/Kcnq2/Grik3/Clca4a/Clca2/Scn1a/Cnga2/Gabrg2/Grik1/Trpv1/Scn9a/Cacna2d3/Cacna1f/Kcnj8/Clcnka/Trpv3/Tmc2/Asic2/Kcnh5/Slc9c1/Trpm6/Cacna1i/Pkd2l1/Trpm8/Gabrb2/Slc6a4/Tmc7/Kcnh7/Scn2b/Cacnb3/Cacna1d/Ano2/Scn10a/Clcn1/Gsdmc2/Kcnc2/Grin2b/Chrna3/Ano1/Gria4/Chrna6/Ryr3/Gsdma2/Trpc3/Scnn1b/Grin2a/Cacna1s/Ano5/Tmem63c/Trpc4/Kcnu1/Rimbp2/Clcnkb/Chrna5/Gsdmc3/Nalcn/Gsdma/Scn5a/Gsdma3/Panx3/Gabra1/Gja10/Kcnj15/Apol10b/Kcnj6/Kcna1/Chrnb2/Chrnd/Clca3a2/Bcl2/Cngb3/Apol10a/Slc26a7/Ttyh2/Kcnh1/Glra1/Clca3b/Slc17a6/Grid2/Fxyd4/Slc17a3/Tmc3/Trpa1/Kcnk16/Gjb6/Kcnt2/Aqp7/Gabrg3/Kcnj12/Snap25/Kcnk9/Kcnn3/Cacna2d1/Gabra5/Scn4a/Htr3a/Gabrp/Grm7/Lrrc55/Bcl2a1d/Gabrr3/Gabrb3/Aqp8/Gsdmc/Chrna4/Gabrb1/Bax/Gje1/Ano4/Grik2/Chrnb3/Kcnh3/Cnga4/Kcnq3/Otop3/Cacng4/Trpv6/Htr3b/Otop1/Gabra6/Rhcg/Kcnk10/Trpc5/Trpc7/Bcl2a1a/Mpeg1/Gabrg1/Catsper4/Apol8/Gjc3/Scnn1g/Tmbim7/Tmem150c/Cnga3/Kcnip4/Oprm1/Cacng5/Kcng4/Tmc1/Slc24a3/Kcnj13/Grin3a/Calhm1/Tomm40/Kcnj9/Kcnh4/Bok/Cachd1/Ano7/Cacna1b/Cacng1/Kcnv1/Faim2/Kcne2/Slc24a4/Kcne1/Pkd1l3/Cnga1/Trpm2/Kcnn2/Slc1a7/Kcnk5/Hcn4/Kcnmb2/Ano9/Gabrq/Kcnip2"
"MF","GO:0022803","passive transmembrane transporter activity",404,0.472111981417637,2.00482280506234,1e-10,2.60193807975942e-08,2.05119601647842e-08,4729,"tags=49%, list=26%, signal=37%","Slc17a8/Cacna1e/Pkd1l2/Trpm3/Slc1a1/Ryr2/Catsper3/Cacna1c/Slc4a11/Grik4/Abcc9/Scn3a/Kcna2/Piezo2/Unc80/Kcnh8/Abcc8/Gria1/Gsdmc4/Kcnma1/Scn8a/Scn4b/Tmc5/Scn7a/Hcn1/Ano3/Ryr1/Oca2/Grid1/Slc1a5/Trpm1/Clca1/Clca4b/Kcnq2/Grik3/Clca4a/Clca2/Scn1a/Cnga2/Gabrg2/Grik1/Trpv1/Scn9a/Cacna2d3/Cacna1f/Kcnj8/Clcnka/Trpv3/Tmc2/Asic2/Kcnh5/Slc9c1/Trpm6/Cacna1i/Pkd2l1/Trpm8/Gabrb2/Slc6a4/Tmc7/Kcnh7/Scn2b/Cacnb3/Cacna1d/Ano2/Scn10a/Clcn1/Gsdmc2/Kcnc2/Grin2b/Chrna3/Ano1/Gria4/Chrna6/Ryr3/Gsdma2/Trpc3/Scnn1b/Grin2a/Cacna1s/Ano5/Tmem63c/Trpc4/Kcnu1/Rimbp2/Clcnkb/Chrna5/Gsdmc3/Nalcn/Gsdma/Scn5a/Gsdma3/Panx3/Gabra1/Gja10/Kcnj15/Apol10b/Kcnj6/Kcna1/Chrnb2/Chrnd/Clca3a2/Bcl2/Cngb3/Apol10a/Slc26a7/Ttyh2/Kcnh1/Glra1/Clca3b/Slc17a6/Grid2/Fxyd4/Slc17a3/Tmc3/Trpa1/Kcnk16/Gjb6/Kcnt2/Aqp7/Gabrg3/Kcnj12/Snap25/Kcnk9/Kcnn3/Cacna2d1/Gabra5/Scn4a/Htr3a/Gabrp/Grm7/Lrrc55/Bcl2a1d/Gabrr3/Gabrb3/Aqp8/Gsdmc/Chrna4/Gabrb1/Bax/Gje1/Ano4/Grik2/Chrnb3/Kcnh3/Cnga4/Kcnq3/Otop3/Cacng4/Trpv6/Htr3b/Otop1/Gabra6/Rhcg/Kcnk10/Trpc5/Trpc7/Bcl2a1a/Mpeg1/Gabrg1/Catsper4/Apol8/Gjc3/Scnn1g/Tmbim7/Tmem150c/Cnga3/Kcnip4/Oprm1/Cacng5/Kcng4/Tmc1/Slc24a3/Kcnj13/Grin3a/Calhm1/Tomm40/Kcnj9/Kcnh4/Bok/Cachd1/Ano7/Cacna1b/Cacng1/Kcnv1/Faim2/Kcne2/Slc24a4/Kcne1/Pkd1l3/Cnga1/Trpm2/Kcnn2/Slc1a7/Kcnk5/Hcn4/Kcnmb2/Ano9/Gabrq/Kcnip2"
"CC","GO:0034702","monoatomic ion channel complex",268,0.481862754509237,2.00132852052839,1e-10,2.60193807975942e-08,2.05119601647842e-08,5076,"tags=50%, list=28%, signal=37%","Slc17a8/Cacna1e/Ryr2/Catsper3/Cacna1c/Grik4/Abcc9/Scn3a/Kcna2/Olfm1/Unc80/Kcnh8/Abcc8/Gria1/Catsperg2/Kcnma1/Scn8a/Scn4b/Cybb/Hcn1/Ryr1/Kcnq2/Grik3/Scn1a/Cnga2/Gabrg2/Grik1/Cnih3/Scn9a/Cacna2d3/Cacna1f/Kcnj8/Clcnka/Catsperb/Lrrtm4/Kcnh5/Cacna1i/Pkd2l1/Gabrb2/Kcnh7/Scn2b/Cacnb3/Cacna1d/Ano2/Scn10a/Clcn1/Kcnc2/Grin2b/Chrna3/Ano1/Gria4/Chrna6/Ryr3/Trpc3/Scnn1b/Trdn/Grin2a/Cacna1s/Trpc4/Dpp10/Kcnu1/Clcnkb/Chrna5/Nalcn/Scn5a/Gabra1/Kcnj15/Kcnj6/Kcna1/Chrnb2/Chrnd/Cntnap2/Shisa6/Cngb3/Ttyh2/Kcnh1/Akap6/Glra1/Slc17a6/Grid2/Gabrg3/Kcnj12/Snap25/Cacna2d1/Gabra5/Scn4a/Htr3a/Gabrp/Olfm3/Lrrc55/Gabrb3/Hspa2/Dpp6/Chrna4/Gabrb1/Grik2/Chrnb3/Kcnh3/Cnga4/Kcnq3/Cacng4/Trpv6/Htr3b/Gabra6/Trpc5/Trpc7/Gabrg1/Catsper4/Scnn1g/Cnga3/Kcnip4/Cacng5/Kcng4/Kcnj13/Grin3a/Kcnj9/Cachd1/Cacna1b/Cacng1/Kcnv1/Kcne2/Kcne1/Pkd1l3/Cnga1/Hcn4/Kcnmb2/Gabrq/Kcnip2/Kcnj2/Lrrc38/Lrrc8c/Best3/Shisa9/Kcnmb3/Chrna9"
"MF","GO:0003924","GTPase activity",268,-0.363662433324711,-1.99016916969809,1e-10,2.60193807975942e-08,2.05119601647842e-08,2860,"tags=30%, list=16%, signal=26%","Agap2/Trim23/Rab8a/Rab14/Arl6/Eef1a1/Sar1a/Arl5b/Rab40b/Agap1/Rab22a/Irgm1/Arf3/Rab5a/Rhoq/Arl3/Rab28/Rhob/Gna14/Gbp9/Arf6/Rab2b/Rab33b/Rab4a/Entpd1/Arl5a/Rab29/Arl15/Gna13/Iigp1/Gnb4/Rhoa/Arl4d/F830016B08Rik/Gbp2/Irgm2/Arf4/Gnaq/Arf2/Gnai3/Gnai2/Gbp8/Rit1/Rab8b/Rras/Rap2a/Rabl2/Rap2c/Rnd2/Cdc42/Mfn2/Rab10/Gm12185/Arhgdib/Rac1/Gng2/Gnaz/Arl8b/Rab18/Rab5b/Rab37/Rhoj/Ralb/Rab11a/Rhoh/Ifi47/Rab11b/Rab6a/Tgtp2/Rrad/Rab32/Rap1b/Rhof/Rab27b/Rab38/Rab43/Rhobtb3/Rab6b/Eif2s3y/Gem/Gch1"
